,Unnamed: 0,Villageid,Primary_key,LPCD_Weighted,LPCD_Min,LPCD_Max,State name,District name,Block name,Gram panchayat,Village name,Sample source,Sample Id,Lab name,Lab name agg,Scheme Type,Sample collection,Sample tested,Free residual Chlorine (mg/l),Total Alkalinity (as Calcium Carbonate) (mg/l),Turbidity (NTU),TDS (mg/l),Fluoride (as F) (mg/l),Colour (Hazen units),Total Hardness (As CaCO3) (mg/l),Sulphate (as SO4) (mg/l),Total coliform (CFU/ 100 ml),Iron (As Fe) (mg/l),E. coli (CFU/100 ml),Odour (NA),Chloride (as Cl) (mg/l),Nitrate (as NO3) (mg/l),pH (NA),Arsenic (mg/l),S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
0,0,157809.0,HEGGADADEVANKOTE_ALANAHALLY_ALANAHALLI,36.36,35.82,42.81,Karnataka,Mysuru,Heggadadevankote,Alanahally,Alanahalli,"Source Type : Deep Tubewell, location : Near Mahadevappa house",U699784S11680407,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,25/04/2023,26/04/2023,,462.4711111111111,0.6444444444444444,1084.6666666666667,0.94,1.0,611.0611111111111,56.69888888888889,0.0,0.4188888888888888,,0.0,93.78666666666668,27.07555555555556,7.444444444444445,,1,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Alanahally,63010,Alanahalli,Alanahalli,618920.0,619116,Alanahalli,4224,1233,750,2241,960,260,0,
1,1,157807.0,HEGGADADEVANKOTE_ALANAHALLY_GANGADAHALLI,33.46,33.46,33.46,Karnataka,Mysuru,Heggadadevankote,Alanahally,Gangadahalli,Anganwadi name : GANGADAHALL Anganavadi,U699784S11680658,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,25/04/2023,26/04/2023,,370.3866666666667,0.5,929.3333333333334,0.97,1.0,521.8033333333334,68.57,0.0,0.3666666666666667,,0.0,72.90666666666667,33.54666666666667,7.3,,2,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Alanahally,63010,Gangadahalli,Gangadahalli,618919.0,618919,Gangadahalli,331,0,0,331,50,10,0,
2,2,157806.0,HEGGADADEVANKOTE_ALANAHALLY_GANGADAHOSAHALLI,38.91,38.91,38.91,Karnataka,Mysuru,Heggadadevankote,Alanahally,Gangadahosahalli,Public tap water location : -----,U699784S11745921,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,28/04/2023,29/04/2023,0.3,436.372,0.8800000000000001,990.8,0.9611111111111112,1.0,556.0989999999999,50.524,0.0,0.39,,0.0,82.455,23.84,7.38,,3,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Alanahally,63010,Gangadahosahalli,Gangadahosahalli,618916.0,618916,Gangadahosahalli,1580,343,228,1009,360,220,0,
3,3,157816.0,HEGGADADEVANKOTE_ALANAHALLY_HALLADAMANUGANAHALLI,34.36,34.36,34.36,Karnataka,Mysuru,Heggadadevankote,Alanahally,Halladamanuganahalli,Public tap water location : -----,U699784S18561204,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS and MVS,22/02/2024,23/02/2024,,437.7890909090909,0.8818181818181817,995.2727272727273,0.8554545454545455,1.0,557.6018181818182,52.09090909090909,0.0,0.3227272727272727,,0.0,76.39363636363636,40.18454545454546,7.427272727272728,,4,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Alanahally,63010,Halladamanuganahalli,Halladamanuganahalli,618908.0,618908,Halladamanuganahalli,2543,0,0,2543,553,405,0,
4,4,157808.0,HEGGADADEVANKOTE_ALANAHALLY_KOTTHEGALA,39.21,39.21,39.21,Karnataka,Mysuru,Heggadadevankote,Alanahally,Kotthegala,Public tap water location : -----,U699784S11723111,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,27/04/2023,28/04/2023,,435.9485714285714,0.7957142857142857,1024.571428571429,0.9542857142857144,1.0,574.8,68.12857142857142,0.0,0.3971428571428571,,0.0,93.76714285714286,13.332857142857142,7.457142857142857,,5,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Alanahally,63010,Kotthegala,Kothegala,618915.0,618915,Kothegala,598,87,68,443,120,91,0,
5,5,157811.0,HEGGADADEVANKOTE_ALANAHALLY_MASANAKUPPE,59.08,59.08,59.08,Karnataka,Mysuru,Heggadadevankote,Alanahally,Masanakuppe,"Source Type : Deep Tubewell, location : Inside Village",U699784S11680335,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,25/04/2023,26/04/2023,,520.6133333333333,0.9333333333333332,1234.0,0.9666666666666668,1.0,742.0033333333334,64.55666666666667,0.0,0.4333333333333333,,0.0,86.68333333333334,14.993333333333334,7.233333333333333,,6,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Alanahally,63010,Masanakuppe,Masanakuppe,618912.0,618912,Masanakuppe,125,125,0,0,47,47,0,
6,6,157813.0,HEGGADADEVANKOTE_ALANAHALLY_MUDDAYYANAHUNDI,52.97,52.97,52.97,Karnataka,Mysuru,Heggadadevankote,Alanahally,Muddayyanahundi,Public tap water location : -----,U699784S11723191,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,27/04/2023,28/04/2023,,450.3440000000001,0.36,1076.4,0.89,1.0,588.53,84.692,0.0,0.3419999999999999,,0.0,122.394,22.816,7.540000000000001,,7,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Alanahally,63010,Muddayyanahundi,Muddaiahnahundi,618914.0,618914,Muddaiahnahundi,118,0,0,118,35,12,0,
7,7,157916.0,HEGGADADEVANKOTE_ANNUR_ANNUR,39.91,36.14,54.84,Karnataka,Mysuru,Heggadadevankote,Annur,Annur,Anganwadi name : CHIKKEREHADI anganwadi,U699784S11635196,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,21/04/2023,24/04/2023,,406.8306666666667,0.6,1004.5333333333332,0.9353333333333332,1.0,533.4233333333334,62.134,0.0,0.384,,0.0,91.13533333333334,43.356,7.319999999999999,,8,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Annur,63023,Annur,Annur,618847.0,618847,Annur,2702,276,636,1790,420,99,0,
8,8,157914.0,HEGGADADEVANKOTE_ANNUR_HOSAHALLI,40.01,39.61,51.67,Karnataka,Mysuru,Heggadadevankote,Annur,Hosahalli,"Others, location : Tenkala kere",U699784S11635266,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS,21/04/2023,24/04/2023,,331.44666666666666,1.05,759.6666666666666,0.88,1.3333333333333333,420.3516666666666,44.053333333333335,0.0,0.315,,0.0,51.73166666666666,36.80166666666667,7.399999999999999,,9,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Annur,63023,Hosahalli,Hosahalli,618853.0,619051,Hosahalli,1825,385,163,1277,295,80,0,
9,9,157919.0,HEGGADADEVANKOTE_ANNUR_K. YEDETHORE,44.7,34.35,48.3,Karnataka,Mysuru,Heggadadevankote,Annur,K. Yedethore,"Source Type : Deep Tubewell, location : in habitaiton",U699784S13232574,RDW&SD Water Quality Testing Lab HD Kote,['RDW&SD Water Quality Testing Lab HD Kote'],SVS and MVS,27/06/2023,28/06/2023,,432.07444444444445,0.5388888888888889,1040.7777777777778,0.9583333333333334,1.0,574.9711111111111,59.17111111111111,0.0,0.3938888888888889,,0.0,100.37833333333332,40.21111111111111,7.483333333333332,,10,Karnataka,15,Mysuru,202,Heggadadevankote,2578,Annur,63023,K. Yedethore,Yedathore,618855.0,618855,Yedathore,4437,1462,1188,1787,934,499,0,
